IdCliente,apoyoTecnico ,serviciosDeAlimentos ,servicioTelefonico ,servicioDeTransporte ,lineasTelefonicas ,serviciosMedicos ,servicioDeInternet ,ServiciosEntrega,seguridadOnline ,serviciosParaMascotas ,copiasDeSeguridad ,serviciosEducativos ,StreamingTV ,servicioProteccio_nMovil ,StreamingMovies 
2382-BCKQJ,No,Yes,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
8374-UULRV,Yes,No,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,Yes,No,Yes
2207-NHRJK,No,No,Yes,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,No
3224-DFQNQ,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,No
5275-PMFUT,Yes,Yes,No,No,No phone service,No,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes
4795-UXVCJ,No internet service,No,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
9777-IQHWP,No,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes
0947-MUGVO,No,No,Yes,No,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,No,No
9944-HKVVB,No,Yes,Yes,Yes,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes
4124-MMETB,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,No,Yes
3671-SHRSP,Yes,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,No
0979-MOZQI,Yes,Yes,No,Yes,No phone service,Yes,DSL,No,No,No,No,Yes,Yes,No,No
2732-ISEZX,No internet service,Yes,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
3313-QKNKB,No,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,Yes
0323-XWWTN,No internet service,No,Yes,Yes,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
1937-OTUKY,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,No
1573-LGXBA,No,No,Yes,Yes,No,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes
1764-VUUMT,No internet service,No,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
5073-WXOYN,No,No,No,Yes,No phone service,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Yes
4713-ZBURT,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
3050-GBUSH,No,No,No,No,No phone service,No,DSL,Yes,No,Yes,No,Yes,Yes,No,No
0207-MDKNV,Yes,No,Yes,No,No,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes
7876-AEHIG,Yes,Yes,No,Yes,No phone service,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes
7945-HLKEA,Yes,Yes,Yes,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Yes,No
9342-VNIMQ,No,Yes,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,No,No
9851-KIELU,Yes,No,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
3523-BRGUW,No internet service,No,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
3908-BLSYF,No,No,Yes,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Yes
3199-NPKCN,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes
5170-PTRKA,Yes,No,No,Yes,No phone service,No,DSL,No,Yes,Yes,No,Yes,No,No,No
4661-NJEUX,No internet service,No,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
2123-AGEEN,No,No,Yes,No,No,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,No
1258-YMZNM,No,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0048-LUMLS,No,No,Yes,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,No,Yes
7549-MYGPK,No,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,No
5898-IGSLP,Yes,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,No
3804-RVTGV,No,No,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Yes,Yes
6259-WJQLC,No,Yes,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Yes,No
9227-LUNBG,No,No,No,No,No phone service,No,DSL,Yes,No,Yes,No,Yes,No,No,No
7997-EASSD,Yes,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,No,No
0730-KOAVE,No,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,No,Yes
8975-SKGRX,Yes,No,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0678-RLHVP,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes
4315-MURBD,Yes,No,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,No,Yes
2267-FPIMA,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,No,Yes
1051-GEJLJ,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
9734-YWGEX,No,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
2719-BDAQO,No,No,Yes,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,Yes
5285-MVEHD,No,Yes,Yes,No,No,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes
0379-DJQHR,No,No,Yes,Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes
0781-LKXBR,No,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes
5543-QDCRY,No,No,Yes,No,No,No,DSL,Yes,No,Yes,No,No,Yes,No,No
0297-RBCSG,Yes,No,Yes,No,No,Yes,DSL,No,No,Yes,Yes,Yes,No,No,Yes
4694-PHWFW,No internet service,No,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
0835-JKADZ,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1907-UBQFC,No,Yes,Yes,Yes,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,No,No
7508-SMHXL,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,No
3865-YIOTT,No,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Yes
5993-BQHEA,No internet service,No,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
6024-RUGGH,No internet service,No,Yes,No,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
6513-EECDB,No,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,No,No
3956-CJUST,No,Yes,Yes,Yes,No,No,Fiber optic,Yes,Yes,No,No,No,No,No,No
4079-WWQQQ,Yes,Yes,No,No,No phone service,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
6103-BOCOU,No,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,No
5149-TGWDZ,Yes,Yes,Yes,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
7471-WNSUF,No internet service,Yes,Yes,Yes,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
8942-DBMHZ,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
4301-VVZKA,No,Yes,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,No,No
9199-PWQVC,No,No,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes
4824-GUCBY,No,No,Yes,Yes,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No
5393-HJZSM,Yes,No,Yes,No,No,Yes,DSL,No,Yes,No,Yes,No,No,Yes,Yes
7074-IEVOJ,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,No,No
9625-QSTYE,No,Yes,Yes,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,No
0862-PRCBS,Yes,Yes,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Yes
8812-ZRHFP,No,No,Yes,Yes,No,No,Fiber optic,Yes,No,No,No,No,No,Yes,Yes
5146-CBVOE,No,No,Yes,No,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,No,No
0454-OKRCT,Yes,Yes,Yes,Yes,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,No,No
5787-KXGIY,No internet service,Yes,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
4750-ZRXIU,No,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,No,Yes
4198-VFOEA,Yes,No,No,Yes,No phone service,No,DSL,Yes,Yes,Yes,No,No,No,No,No
6630-UJZMY,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,No
5709-LVOEQ,No,Yes,Yes,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes
6400-BWQKW,No,Yes,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,No,No
2692-AQCPF,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes
0347-UBKUZ,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
0835-DUUIQ,No internet service,No,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
0811-GSDTP,No,Yes,No,No,No phone service,No,DSL,Yes,No,Yes,Yes,Yes,No,No,No
7567-ECMCM,No,Yes,Yes,No,No,No,Fiber optic,No,No,Yes,No,No,No,No,Yes
6115-ZTBFQ,Yes,Yes,No,Yes,No phone service,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes
6353-BRMMA,No,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,No,Yes
6680-WKXRZ,No,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,No,No
6231-WFGFH,No internet service,No,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
9904-EHEVJ,No,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No
7028-DVOIQ,No,No,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,Yes
6169-PPETC,No internet service,No,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
4208-UFFGW,No,Yes,Yes,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,No
8584-KMVXD,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,No,No,Yes,No,No,No,No
8467-WYNSR,Yes,No,Yes,No,No,No,DSL,No,Yes,Yes,No,Yes,No,No,No
0851-DFJKB,Yes,Yes,Yes,No,No,Yes,DSL,No,Yes,No,No,No,No,Yes,No
5382-SOYZL,No,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,Yes
9448-REEVD,No,Yes,Yes,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No
3261-CQXOL,No internet service,Yes,Yes,Yes,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
8388-FYNPZ,No,No,Yes,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,Yes,No
4002-BQWPQ,Yes,Yes,Yes,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Yes,Yes
5651-YLPRD,No,Yes,Yes,Yes,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,No,No
2826-DXLQO,No,No,No,Yes,No phone service,Yes,DSL,Yes,Yes,No,No,Yes,No,No,No
4378-BZYFP,No internet service,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
9489-UTFKA,No,No,Yes,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,No,No
4849-PYRLQ,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes
9117-SHLZX,No,Yes,Yes,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No
9889-TMAHG,Yes,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,Yes
4541-RMRLG,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
7764-BDPEE,No internet service,No,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
3429-IFLEM,Yes,No,Yes,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
3158-MOERK,No,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,No,Yes
7294-TMAOP,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,Yes
5002-GCQFH,No,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,No,No
0556-FJEGU,Yes,Yes,Yes,Yes,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No
8919-FYFQZ,No,Yes,No,No,No phone service,Yes,DSL,No,No,No,Yes,Yes,No,No,No
0604-THJFP,Yes,No,Yes,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,No,Yes
2834-JRTUA,Yes,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
5875-YPQFJ,No,No,Yes,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,No,No
5879-SESNB,No,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,No,No
6646-QVXLR,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Yes,Yes
6461-PPAXN,Yes,No,Yes,Yes,No,No,DSL,Yes,Yes,Yes,No,No,No,No,No
3318-ISQFQ,No internet service,Yes,Yes,No,No,No,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
1106-HRLKZ,No internet service,Yes,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
2483-XSSMZ,No,No,Yes,No,No,No,DSL,Yes,Yes,Yes,No,No,No,No,No
8603-IJWDN,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,No,Yes
8165-ZJRNM,No internet service,Yes,Yes,No,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
9369-XFEHK,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,No,No
2604-XVDAM,No,Yes,Yes,Yes,No,No,DSL,Yes,No,Yes,No,No,No,No,No
3717-OFRTN,No internet service,Yes,Yes,Yes,No,Yes,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
9046-JBFWA,No internet service,Yes,Yes,Yes,No,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
3280-NMUVX,No internet service,No,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
1206-EHBDD,No,Yes,Yes,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,No
8361-LBRDI,No internet service,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
4883-KCPZJ,No internet service,No,Yes,No,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
9108-EQPNQ,No internet service,Yes,Yes,Yes,Yes,Yes,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
7277-KAMWT,No internet service,No,Yes,No,No,No,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
3842-IYKUE,Yes,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,No
6641-XRPSU,No,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,No,No
1374-DMZUI,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,No,Yes
2545-LXYVJ,No internet service,Yes,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
3234-VKACU,Yes,No,Yes,No,No,Yes,DSL,Yes,No,No,No,No,Yes,No,Yes
8357-EQXFO,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,Yes
1989-PRJHP,No,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,No
8120-JDCAM,No,Yes,Yes,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,No,No
8917-FAEMR,No internet service,Yes,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
7047-YXDMZ,No internet service,No,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
2858-EIMXH,No,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,No,Yes
9524-EGPJC,Yes,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,Yes
6993-OHLXR,No,No,Yes,No,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,No,No
8818-XYFCQ,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,No,Yes
6419-ZTTLE,No internet service,Yes,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
0929-HYQEW,No,No,Yes,Yes,No,Yes,DSL,No,Yes,No,No,Yes,No,No,No
6614-YOLAC,Yes,Yes,No,Yes,No phone service,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
7426-RHZGU,Yes,Yes,Yes,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,Yes
4065-JJAVA,No,No,Yes,Yes,No,No,DSL,No,No,Yes,Yes,No,No,No,No
4695-VADHF,No,No,Yes,No,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes
3863-IUBJR,No,No,Yes,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes
7649-SIJJF,Yes,No,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
9361-YNQWJ,No internet service,Yes,Yes,Yes,Yes,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
3748-FVMZZ,Yes,Yes,No,Yes,No phone service,Yes,DSL,Yes,No,Yes,No,Yes,No,No,Yes
9391-TTOYH,No internet service,No,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
1452-XRSJV,No,Yes,Yes,No,No,Yes,DSL,Yes,Yes,No,No,Yes,No,No,No
3422-WJOYD,Yes,Yes,Yes,No,No,Yes,DSL,No,Yes,Yes,No,Yes,No,No,No
8242-SOQUO,No,Yes,Yes,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,No
7460-ITWWP,No,Yes,Yes,No,No,No,Fiber optic,Yes,No,No,No,No,No,Yes,Yes
7147-AYBAA,No,No,Yes,No,No,Yes,Fiber optic,No,No,No,No,No,No,No,No
7868-TMWMZ,Yes,Yes,Yes,No,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
4822-RVYBB,No,Yes,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,Yes
6732-FZUGP,No,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,No
8436-BJUMM,No,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,No
4184-TJFAN,Yes,No,Yes,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,No
8329-GWVPJ,No,No,Yes,Yes,No,No,Fiber optic,No,No,No,No,Yes,No,No,No
1352-VHKAJ,Yes,No,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,Yes
4145-UQXUQ,No,Yes,Yes,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,Yes
2632-TACXW,No internet service,No,Yes,No,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
8146-QQKZH,Yes,Yes,Yes,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes
1767-CJKBA,No internet service,Yes,Yes,Yes,Yes,No,No,No,No internet service,No,No internet service,No,No internet service,No internet service,No internet service
6445-TNRXS,Yes,No,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
4581-LNWUM,No,No,No,No,No phone service,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes
4869-EPIUS,No,No,Yes,No,No,No,Fiber optic,No,No,Yes,No,Yes,No,No,Yes
9948-YPTDG,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No
1236-WFCDV,No,No,Yes,No,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Yes
1915-OAKWD,No internet service,Yes,Yes,Yes,No,Yes,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
7296-PIXQY,No,No,Yes,No,No,No,Fiber optic,Yes,No,Yes,No,No,No,No,No
4883-QICIH,No,Yes,Yes,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,No,No,No
3354-OADJP,Yes,Yes,Yes,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No
3524-WQDSG,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes
0810-DHDBD,Yes,Yes,Yes,No,Yes,No,DSL,No,Yes,No,No,No,Yes,Yes,No
4026-SKKHW,Yes,No,Yes,Yes,No,Yes,DSL,No,No,No,No,Yes,No,No,No
2829-HYVZP,No internet service,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
8329-IBCTI,No internet service,No,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
1271-SJBGZ,Yes,Yes,No,Yes,No phone service,Yes,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes
3845-JHAMY,No,No,No,No,No phone service,No,DSL,Yes,No,Yes,No,Yes,No,No,Yes
7013-PSXHK,Yes,No,Yes,No,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes
5669-SRAIP,No,No,No,No,No phone service,No,DSL,Yes,No,No,No,No,No,Yes,Yes
5981-ITEMU,No,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Yes
3486-NPGST,No internet service,No,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
6941-PMGEP,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes
1624-WOIWJ,No,No,Yes,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,No
2074-GKOWZ,No,Yes,Yes,No,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,No,Yes
0376-YMCJC,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,No
6100-FJZDG,No internet service,Yes,Yes,Yes,No,Yes,No,Yes,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
4829-ZLJTK,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes
1730-VFMWO,Yes,Yes,Yes,No,No,No,DSL,Yes,No,Yes,No,No,No,No,No
7143-BQIBA,Yes,Yes,Yes,No,No,No,DSL,No,Yes,No,No,No,Yes,No,No
3800-LYTRK,Yes,No,Yes,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,No
0634-SZPQA,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,No,No
9646-NMHXE,No internet service,No,Yes,No,No,No,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
7030-NJVDP,Yes,No,Yes,No,No,No,Fiber optic,Yes,Yes,No,No,No,No,No,Yes
5536-RTPWK,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,No,Yes
8883-GRDWQ,Yes,Yes,Yes,Yes,No,No,DSL,No,Yes,Yes,No,No,No,No,No
6166-ILMNY,No,Yes,Yes,Yes,No,No,Fiber optic,Yes,No,Yes,No,Yes,No,No,No
3097-NNSPB,No,No,Yes,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No
7771-ZONAT,Yes,No,No,No,No phone service,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes
0655-RBDUG,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,Yes
2111-DWYHN,No internet service,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
4194-WHFCB,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,No,Yes
4121-AGSIN,No internet service,No,Yes,No,Yes,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,No internet service,No internet service
4361-BKAXE,Yes,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Yes,Yes
9845-PEEKO,No,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,No,No
0455-XFASS,No,Yes,Yes,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,No,No
0301-KOBTQ,No internet service,No,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,No internet service,No internet service
1751-NCDLI,No,Yes,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
4367-NUYAO,No internet service,No,Yes,No,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
9878-TNQGW,No,Yes,Yes,No,No,No,Fiber optic,No,No,No,No,Yes,No,No,Yes
9170-ARBTB,No internet service,Yes,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service
4441-NIHPT,No,No,Yes,Yes,No,No,Fiber optic,Yes,No,No,No,No,No,Yes,No
8999-BOHSE,No,Yes,Yes,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,Yes
7241-AJHFS,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,No
7029-RPUAV,No,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
